library,CWE_id,fix_commit_hash
mlpack,segfault,https://github.com/mlpack/mlpack/commit/051205d78f8a82ff90cba7b693050aac84d08ff5
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/33d83e4db8b53d5407c79d423155b47b3cef7a2c
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/4b4b4f6039b4b5eb5c0a9586812c5aba82926ef8
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/f172fcf90390bc41b66e60b79efa0ac94874d781
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/bde18b80ada1e0d5774f17c39cb72477a1a97618
mlpack,CWE-190,https://github.com/mlpack/mlpack/commit/177463e2effa3c313cc6c46edf99a47af031e871
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/31a199f05ec5099bc3dfdc27c7df91aa9844a3a7
mlpack,CWE-121,https://github.com/mlpack/mlpack/commit/09cb26c5f20502617af2eec5a96dccbec7bdfc40
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/e97d1bf8c313736948425fa56b3d8de24cc4b4ec
mlpack,CWE-908,https://github.com/mlpack/mlpack/commit/a773966df3bc699fc63521c5430272c58e6e5b6f
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/96f975f4738387a91e333be5b4f3e049057a878c
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/0e02c33cea0f8d19d079a51bcd7b5645492fe89a
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/470bb5a6dd3f81b955781b8b253abd94ef8d681b
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/5ee4a2f0175df8d4b7b6e73a022f46fa36e9c8f5
mlpack,CWE-369,https://github.com/mlpack/mlpack/commit/38d2155f75f73b79b5746a6b6918c362e0c9040d
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/c107ffc1c52c1b2e732327183b3626313a5630b1
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/8b01dc2050c1f452ecaccbcdc8eddc9af52de4eb
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/fdb379979755e7b22e4c8160883e5cd8ff2dfda3
mlpack,CWE-908,https://github.com/mlpack/mlpack/commit/27288163b957f94449057a98e35c362f8a2e0bc1
mlpack,CWE-457,https://github.com/mlpack/mlpack/commit/6d4574d039b75e5bfe7bc85ca30df007219c41ca
mlpack,CWE-476,https://github.com/mlpack/mlpack/commit/1fd5f323445ddc252d75dfdefeb39a8735a42c15
mlpack,segfault,https://github.com/mlpack/mlpack/commit/331ef56c40686b9ad9b2cde238d438829dc431e7
mlpack,segfault,https://github.com/mlpack/mlpack/commit/f347c56c8bdd80018b31180ceec22b4174733358
