Tool,Mapping,Library,Overhead,VFC,VIC,Path,Added,Deleted,VulLine,Warnings,Class,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
flawfinder,diff,mlpack,0.028241872787476,https://github.com/mlpack/mlpack/commit/bde18b80ada1e0d5774f17c39cb72477a1a97618,https://github.com/mlpack/mlpack/commit/ede36869753ba38e35f84f7fa8096303bb427b80,src/mlpack/methods/hmm/hmm_train_main.cpp,6,6,448,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:251:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n      char lineBuf[1024];","/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:399:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char lineBuf[1024]; // Max 1024 characters... hopefully long enough.\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 457 in approximately 0.01 seconds (67164 lines/second)\nPhysical Source Lines of Code (SLOC) = 330\nHits@level = [0]   0 [1]   0 [2]   2 [3]   0 [4]   0 [5]   0\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   0 [4+]   0 [5+]   0\nHits/KSLOC@level+ = [0+] 6.06061 [1+] 6.06061 [2+] 6.06061 [3+]   0 [4+]   0 [5+]   0\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flawfinder,diff,mlpack,0.028185367584229,https://github.com/mlpack/mlpack/commit/bde18b80ada1e0d5774f17c39cb72477a1a97618,https://github.com/mlpack/mlpack/commit/926bad929021b1cb8419b424962e35e3d62e0ef0,src/mlpack/methods/hmm/hmm_train_main.cpp,174,158,445,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:111:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n      char lineBuf[1024];","/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:256:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char lineBuf[1024]; // Max 1024 characters... hopefully long enough.\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 441 in approximately 0.01 seconds (64344 lines/second)\nPhysical Source Lines of Code (SLOC) = 311\nHits@level = [0]   0 [1]   0 [2]   2 [3]   0 [4]   0 [5]   0\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   0 [4+]   0 [5+]   0\nHits/KSLOC@level+ = [0+] 6.43087 [1+] 6.43087 [2+] 6.43087 [3+]   0 [4+]   0 [5+]   0\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flawfinder,diff,mlpack,0.027952194213867,https://github.com/mlpack/mlpack/commit/bde18b80ada1e0d5774f17c39cb72477a1a97618,https://github.com/mlpack/mlpack/commit/2967d233914401ed90edcc2e85d3bce6eba81b85,src/mlpack/methods/hmm/hmm_train_main.cpp,69,48,291,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:99:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n      char lineBuf[1024];","/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:248:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char lineBuf[1024]; // Max 1024 characters... hopefully long enough.\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 420 in approximately 0.01 seconds (64159 lines/second)\nPhysical Source Lines of Code (SLOC) = 298\nHits@level = [0]   0 [1]   0 [2]   2 [3]   0 [4]   0 [5]   0\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   0 [4+]   0 [5+]   0\nHits/KSLOC@level+ = [0+] 6.71141 [1+] 6.71141 [2+] 6.71141 [3+]   0 [4+]   0 [5+]   0\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flawfinder,diff,mlpack,0.029379367828369,https://github.com/mlpack/mlpack/commit/bde18b80ada1e0d5774f17c39cb72477a1a97618,https://github.com/mlpack/mlpack/commit/926bad929021b1cb8419b424962e35e3d62e0ef0,src/mlpack/methods/hmm/hmm_train_main.cpp,174,158,446,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:111:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n      char lineBuf[1024];","/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:256:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char lineBuf[1024]; // Max 1024 characters... hopefully long enough.\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 441 in approximately 0.01 seconds (62955 lines/second)\nPhysical Source Lines of Code (SLOC) = 311\nHits@level = [0]   0 [1]   0 [2]   2 [3]   0 [4]   0 [5]   0\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   0 [4+]   0 [5+]   0\nHits/KSLOC@level+ = [0+] 6.43087 [1+] 6.43087 [2+] 6.43087 [3+]   0 [4+]   0 [5+]   0\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flawfinder,diff,mlpack,0.028694868087769,https://github.com/mlpack/mlpack/commit/bde18b80ada1e0d5774f17c39cb72477a1a97618,https://github.com/mlpack/mlpack/commit/ede36869753ba38e35f84f7fa8096303bb427b80,src/mlpack/methods/hmm/hmm_train_main.cpp,6,6,452,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:251:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n      char lineBuf[1024];","/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:399:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char lineBuf[1024]; // Max 1024 characters... hopefully long enough.\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 457 in approximately 0.01 seconds (65951 lines/second)\nPhysical Source Lines of Code (SLOC) = 330\nHits@level = [0]   0 [1]   0 [2]   2 [3]   0 [4]   0 [5]   0\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   0 [4+]   0 [5+]   0\nHits/KSLOC@level+ = [0+] 6.06061 [1+] 6.06061 [2+] 6.06061 [3+]   0 [4+]   0 [5+]   0\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flawfinder,diff,mlpack,0.028404235839844,https://github.com/mlpack/mlpack/commit/bde18b80ada1e0d5774f17c39cb72477a1a97618,https://github.com/mlpack/mlpack/commit/926bad929021b1cb8419b424962e35e3d62e0ef0,src/mlpack/methods/hmm/hmm_train_main.cpp,174,158,449,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:111:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n      char lineBuf[1024];","/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:256:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char lineBuf[1024]; // Max 1024 characters... hopefully long enough.\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 441 in approximately 0.01 seconds (64156 lines/second)\nPhysical Source Lines of Code (SLOC) = 311\nHits@level = [0]   0 [1]   0 [2]   2 [3]   0 [4]   0 [5]   0\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   0 [4+]   0 [5+]   0\nHits/KSLOC@level+ = [0+] 6.43087 [1+] 6.43087 [2+] 6.43087 [3+]   0 [4+]   0 [5+]   0\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flawfinder,diff,mlpack,0.028261661529541,https://github.com/mlpack/mlpack/commit/bde18b80ada1e0d5774f17c39cb72477a1a97618,https://github.com/mlpack/mlpack/commit/2967d233914401ed90edcc2e85d3bce6eba81b85,src/mlpack/methods/hmm/hmm_train_main.cpp,69,48,291,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:99:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n      char lineBuf[1024];","/media/nimashiri/DATA/vsprojects/ICSE23/vul_hmm_train_main.cpp:248:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char lineBuf[1024]; // Max 1024 characters... hopefully long enough.\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 420 in approximately 0.01 seconds (62984 lines/second)\nPhysical Source Lines of Code (SLOC) = 298\nHits@level = [0]   0 [1]   0 [2]   2 [3]   0 [4]   0 [5]   0\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   0 [4+]   0 [5+]   0\nHits/KSLOC@level+ = [0+] 6.71141 [1+] 6.71141 [2+] 6.71141 [3+]   0 [4+]   0 [5+]   0\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flawfinder,diff,mlpack,0.025583505630493,https://github.com/mlpack/mlpack/commit/331ef56c40686b9ad9b2cde238d438829dc431e7,https://github.com/mlpack/mlpack/commit/e06cfc8f950430060506bc895a94f69b1f3fb29d,src/mlpack/core/util/backtrace.cpp,2,2,94,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_backtrace.cpp:112:  [5] (race) readlink:\n  This accepts filename arguments; if an attacker can move those files or\n  change the link content, a race condition results. Also, it does not\n  terminate with ASCII NUL. (CWE-362, CWE-20). Reconsider approach.\n    int l = readlink(""/proc/self/exe"", ename, sizeof(ename));","/media/nimashiri/DATA/vsprojects/ICSE23/vul_backtrace.cpp:111:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char ename[1024];\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 206 in approximately 0.00 seconds (51828 lines/second)\nPhysical Source Lines of Code (SLOC) = 151\nHits@level = [0]   0 [1]   0 [2]   1 [3]   0 [4]   0 [5]   1\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   1 [4+]   1 [5+]   1\nHits/KSLOC@level+ = [0+] 13.245 [1+] 13.245 [2+] 13.245 [3+] 6.62252 [4+] 6.62252 [5+] 6.62252\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flawfinder,diff,mlpack,0.025252103805542,https://github.com/mlpack/mlpack/commit/331ef56c40686b9ad9b2cde238d438829dc431e7,https://github.com/mlpack/mlpack/commit/a090df738c120e5feb2ef9fa1afe19cfffa93d12,src/mlpack/core/util/backtrace.cpp,2,1,52,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_backtrace.cpp:116:  [5] (race) readlink:\n  This accepts filename arguments; if an attacker can move those files or\n  change the link content, a race condition results. Also, it does not\n  terminate with ASCII NUL. (CWE-362, CWE-20). Reconsider approach.\n    int l = readlink(""/proc/self/exe"", ename, sizeof(ename));","/media/nimashiri/DATA/vsprojects/ICSE23/vul_backtrace.cpp:115:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char ename[1024];\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 210 in approximately 0.00 seconds (51440 lines/second)\nPhysical Source Lines of Code (SLOC) = 150\nHits@level = [0]   0 [1]   0 [2]   1 [3]   0 [4]   0 [5]   1\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   1 [4+]   1 [5+]   1\nHits/KSLOC@level+ = [0+] 13.3333 [1+] 13.3333 [2+] 13.3333 [3+] 6.66667 [4+] 6.66667 [5+] 6.66667\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flawfinder,diff,mlpack,0.026277303695679,https://github.com/mlpack/mlpack/commit/331ef56c40686b9ad9b2cde238d438829dc431e7,https://github.com/mlpack/mlpack/commit/a090df738c120e5feb2ef9fa1afe19cfffa93d12,src/mlpack/core/util/backtrace.cpp,2,1,51,2,detected,"/media/nimashiri/DATA/vsprojects/ICSE23/vul_backtrace.cpp:116:  [5] (race) readlink:\n  This accepts filename arguments; if an attacker can move those files or\n  change the link content, a race condition results. Also, it does not\n  terminate with ASCII NUL. (CWE-362, CWE-20). Reconsider approach.\n    int l = readlink(""/proc/self/exe"", ename, sizeof(ename));","/media/nimashiri/DATA/vsprojects/ICSE23/vul_backtrace.cpp:115:  [2] (buffer) char:\n  Statically-sized arrays can be improperly restricted, leading to potential\n  overflows or other issues (CWE-119!/CWE-120). Perform bounds checking, use\n  functions that limit length, or ensure that the size is larger than the\n  maximum possible length.\n    char ename[1024];\n\nANALYSIS SUMMARY:\n\nHits = 2\nLines analyzed = 210 in approximately 0.00 seconds (52576 lines/second)\nPhysical Source Lines of Code (SLOC) = 150\nHits@level = [0]   0 [1]   0 [2]   1 [3]   0 [4]   0 [5]   1\nHits@level+ = [0+]   2 [1+]   2 [2+]   2 [3+]   1 [4+]   1 [5+]   1\nHits/KSLOC@level+ = [0+] 13.3333 [1+] 13.3333 [2+] 13.3333 [3+] 6.66667 [4+] 6.66667 [5+] 6.66667\nMinimum risk level = 1\n\nNot every hit is necessarily a security vulnerability.\nYou can inhibit a report by adding a comment in this form:\n// flawfinder: ignore\nMake *sure* it's a false positive!\nYou can use the option --neverignore to show these.\n\nThere may be other security vulnerabilities; review your code!\nSee 'Secure Programming HOWTO'\n(https://dwheeler.com/secure-programs) for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
